2.020178,2.298985,2.186631,2.050061,2.262583,2.100002,2.082916,canchen
1.893001,1.82809,1.954428,1.987887,2.205907,1.920734,1.904077,xi
2.322785,2.019893,2.034143,2.074116,2.477213,2.015284,1.566548,qianwen
2.019366,2.135441,2.16567,2.060308,2.134085,2.094148,1.841681,qiumei
2.077887,2.07104,2.240504,2.146476,2.098158,2.027852,2.161463,canchen
2.591214,1.802627,1.842527,1.831414,1.817135,1.782375,2.117715,xi
1.680618,2.046626,1.865622,1.924394,1.71658,1.785196,1.786865,qianwen
2.145715,2.140437,2.053173,2.133077,2.2047,2.220877,2.209317,qiumei
2.020178,2.298985,2.186631,2.050061,2.262583,2.100002,2.082916,canchen
1.893001,1.82809,1.954428,1.987887,2.205907,1.920734,1.904077,xi
2.322785,2.019893,2.034143,2.074116,2.477213,2.015284,1.566548,qianwen
2.019366,2.135441,2.16567,2.060308,2.134085,2.094148,1.841681,qiumei
2.077887,2.07104,2.240504,2.146476,2.098158,2.027852,2.161463,canchen
2.591214,1.802627,1.842527,1.831414,1.817135,1.782375,2.117715,xi
1.680618,2.046626,1.865622,1.924394,1.71658,1.785196,1.786865,qianwen
2.145715,2.140437,2.053173,2.133077,2.2047,2.220877,2.209317,qiumei
2.020178,2.298985,2.186631,2.050061,2.262583,2.100002,2.082916,canchen
1.893001,1.82809,1.954428,1.987887,2.205907,1.920734,1.904077,xi
2.322785,2.019893,2.034143,2.074116,2.477213,2.015284,1.566548,qianwen
2.019366,2.135441,2.16567,2.060308,2.134085,2.094148,1.841681,qiumei
2.077887,2.07104,2.240504,2.146476,2.098158,2.027852,2.161463,canchen
2.591214,1.802627,1.842527,1.831414,1.817135,1.782375,2.117715,xi
1.680618,2.046626,1.865622,1.924394,1.71658,1.785196,1.786865,qianwen
2.145715,2.140437,2.053173,2.133077,2.2047,2.220877,2.209317,qiumei
2.020178,2.298985,2.186631,2.050061,2.262583,2.100002,2.082916,canchen
1.893001,1.82809,1.954428,1.987887,2.205907,1.920734,1.904077,xi
2.322785,2.019893,2.034143,2.074116,2.477213,2.015284,1.566548,qianwen
2.019366,2.135441,2.16567,2.060308,2.134085,2.094148,1.841681,qiumei
2.077887,2.07104,2.240504,2.146476,2.098158,2.027852,2.161463,canchen
2.591214,1.802627,1.842527,1.831414,1.817135,1.782375,2.117715,xi
1.680618,2.046626,1.865622,1.924394,1.71658,1.785196,1.786865,qianwen
2.145715,2.140437,2.053173,2.133077,2.2047,2.220877,2.209317,qiumei
